COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Chile,DEC2010,December 2010,2010,12,December,Not specified,9.333,13,111.996,,0.0017499218600733
Chile,DEC2010,December 2010,2010,12,December,Net electricity production,5333.381,14,58334.001,,1.0
Chile,DEC2010,December 2010,2010,12,December,Total imports,31.169,15,958.0,,0.005844135268041
Chile,DEC2010,December 2010,2010,12,December,Electricity supplied,5364.55,17,59292.001,,1.005844135268041
Chile,DEC2010,December 2010,2010,12,December,Distribution losses,452.696,19,4967.0,,0.0848797413873113
Chile,DEC2010,December 2010,2010,12,December,Final consumption,4911.853,20,54325.001,,0.9209642063824054
Chile,DEC2010,December 2010,2010,12,December,Electricity trade,-31.169,21,-958.0,,-0.005844135268041
Chile,DEC2010,December 2010,2010,12,December,Renewables,2170.061,22,24101.174,,0.4068828009849662
Chile,DEC2010,December 2010,2010,12,December,Non-renewables,3163.319,23,34232.823,,0.5931170115167095
Chile,DEC2010,December 2010,2010,12,December,Others,496.868,24,8134.076,,0.0931619173653635
Chile,DEC2010,December 2010,2010,12,December,Other renewables aggregated,284.126,25,2128.172,,0.0532731488712319
Chile,DEC2010,December 2010,2010,12,December,Low carbon,2179.394,26,24213.17,,0.4086327228450395
Chile,DEC2010,December 2010,2010,12,December,Fossil fuels,3163.319,27,34232.823,,0.5931170115167095
Chile,JAN2011,January 2011,2011,1,January,Hydro,1896.733,1,20937.001,2277.808,0.3638760460271113
Chile,JAN2011,January 2011,2011,1,January,Wind,28.383,2,338.001,21.126,0.005445096286292
Chile,JAN2011,January 2011,2011,1,January,Total combustible fuels,3287.464,7,41914.001,2472.143,0.6306788576865967
Chile,JAN2011,January 2011,2011,1,January,Coal,1356.818,8,18534.705,1287.305,0.2602968203845313
Chile,JAN2011,January 2011,2011,1,January,Oil,335.836,9,6003.775,382.032,0.0644279800022253
Chile,JAN2011,January 2011,2011,1,January,Natural gas,1267.7,10,12960.784,645.119,0.2432001043629066
Chile,JAN2011,January 2011,2011,1,January,Combustible renewables,327.11,11,4414.735,157.687,0.0627539529369333
Chile,JAN2011,January 2011,2011,1,January,Net electricity production,5212.58,14,63189.001,4780.411,1.0
Chile,JAN2011,January 2011,2011,1,January,Total imports,99.813,15,732.001,140.707,0.0191484830928254
Chile,JAN2011,January 2011,2011,1,January,Electricity supplied,5312.393,17,63921.002,4921.118,1.0191484830928257
Chile,JAN2011,January 2011,2011,1,January,Distribution losses,393.19,19,4687.001,412.986,0.0754309765989203
Chile,JAN2011,January 2011,2011,1,January,Final consumption,4919.203,20,59234.001,4508.132,0.9437175064939052
Chile,JAN2011,January 2011,2011,1,January,Electricity trade,-99.813,21,-732.001,-140.707,-0.0191484830928254
Chile,JAN2011,January 2011,2011,1,January,Renewables,2252.226,22,25689.737,2456.621,0.4320750952503367
Chile,JAN2011,January 2011,2011,1,January,Non-renewables,2960.354,23,37499.264,2323.789,0.5679249047496633
Chile,JAN2011,January 2011,2011,1,January,Others,335.836,24,6003.775,391.365,0.0644279800022253
Chile,JAN2011,January 2011,2011,1,January,Other renewables aggregated,327.11,25,4414.735,157.687,0.0627539529369333
Chile,JAN2011,January 2011,2011,1,January,Low carbon,2252.226,26,25689.737,2465.954,0.4320750952503367
Chile,JAN2011,January 2011,2011,1,January,Fossil fuels,2960.354,27,37499.264,2323.789,0.5679249047496633
Chile,FEB2011,February 2011,2011,2,February,Hydro,1470.305,1,20937.001,4019.071,0.3072395488652988
Chile,FEB2011,February 2011,2011,2,February,Wind,18.898,2,338.001,36.237,0.0039489854108204
Chile,FEB2011,February 2011,2011,2,February,Total combustible fuels,3296.331,7,41914.001,5102.387,0.6888116746870202
Chile,FEB2011,February 2011,2011,2,February,Coal,1216.822,8,18534.705,2487.951,0.2542709453680499
Chile,FEB2011,February 2011,2011,2,February,Oil,529.6,9,6003.775,1266.203,0.1106668786945989
Chile,FEB2011,February 2011,2011,2,February,Natural gas,1216.66,10,12960.784,1029.9,0.2542370933394462
Chile,FEB2011,February 2011,2011,2,February,Combustible renewables,333.248,11,4414.735,318.333,0.0696365483217856
Chile,FEB2011,February 2011,2011,2,February,Net electricity production,4785.533,14,63189.001,9176.362,1.0
Chile,FEB2011,February 2011,2011,2,February,Total imports,126.013,15,732.001,254.839,0.0263320721014775
Chile,FEB2011,February 2011,2011,2,February,Electricity supplied,4911.546,17,63921.002,9431.201,1.0263320721014777
Chile,FEB2011,February 2011,2011,2,February,Distribution losses,357.48,19,4687.001,786.891,0.0747001431188542
Chile,FEB2011,February 2011,2011,2,February,Final consumption,4554.066,20,59234.001,8644.311,0.9516319289826232
Chile,FEB2011,February 2011,2011,2,February,Electricity trade,-126.013,21,-732.001,-254.839,-0.0263320721014775
Chile,FEB2011,February 2011,2011,2,February,Renewables,1822.451,22,25689.737,4373.641,0.3808250825979049
Chile,FEB2011,February 2011,2011,2,February,Non-renewables,2963.082,23,37499.264,4802.72,0.619174917402095
Chile,FEB2011,February 2011,2011,2,February,Others,529.6,24,6003.775,1284.869,0.1106668786945989
Chile,FEB2011,February 2011,2011,2,February,Other renewables aggregated,333.248,25,4414.735,318.333,0.0696365483217856
Chile,FEB2011,February 2011,2011,2,February,Low carbon,1822.451,26,25689.737,4392.307,0.3808250825979049
